id,username,tweets
15485441,jimmyfallon,12573
44409004,shakira,6899
18839785,narendramodi,26471
16409683,britneyspears,5639
428333,cnnbrk,70167
783214,Twitter,13375
23375688,selenagomez,4648
25365536,KimKardashian,32039
26565946,jtimberlake,4237
34507480,ArianaGrande,46198
10228272,YouTube,25288
25073877,realDonaldTrump,50654
15846407,TheEllenShow,21666
14230524,ladygaga,9121
155659213,Cristiano,3523
17919972,taylorswift13,437
79293791,rihanna,10465
21447363,katyperry,10623
27260086,justinbieber,30936
813286,BarackObama,15779
